Date,Close,High,Low,Open,Volume,Ticker,return_1d,return_5d,return_10d,return_20d,price_vs_ma20,price_vs_ma50,rsi_14,macd,macd_signal,macd_hist,bb_width,atr_14,volume_ratio,volume_trend,price_volume_signal,market_return_1d,day_of_week,month,quarter,target
2019-03-14,43.780029296875,43.86819707283481,43.50123674636694,43.82053724326323,94318000,AAPL,0.011116342404772439,0.06510129331326131,0.06110285364110046,0.07962166913508884,0.050990729931816414,0.11292646152046815,75.10769296057695,0.9481773465464798,0.8462711908070393,0.10190615573944051,0.08417665733735276,0.016415386764706625,0.9734271057722397,-0.04907567227500764,0.010820949013850854,-0.0007403668982394696,3,3,1,2.0
2019-03-15,44.34953689575195,44.63786291557036,43.78242191395929,44.04691801494026,156171600,AAPL,0.01300838779743807,0.07639820854060564,0.06372516099116132,0.0896956435100491,0.060017687377449835,0.12347383794951439,77.6420748603116,1.044191761847273,0.885855305015086,0.1583364568321869,0.09806548747708027,0.016428731855261076,1.556514750310363,0.6268281707042676,0.02024774748446969,-0.000429804965467534,4,3,1,2.0
2019-03-18,44.80227279663086,44.89043693766361,44.2708955054987,44.27328067856524,104879200,AAPL,0.0102083568976854,0.0509781325548313,0.06920674855880327,0.10327437628601799,0.06549854517427534,0.12861544687150195,79.43463382477579,1.1436327942830005,0.937410802868669,0.2062219914143315,0.11141467975172745,0.016088832818054365,1.0419903040910155,-0.18091281122114278,0.010637008908088825,0.0032084962735569934,0,3,1,1.0
2019-03-19,44.447227478027344,45.03340921139079,44.30187372223758,44.88090720826174,126585600,AAPL,-0.007924716681565691,0.03106511362926412,0.06266767246202898,0.09126562219025347,0.05240291486704307,0.11446644859016764,74.39706171503474,1.180186879245376,0.9859660181440104,0.1942208611013656,0.11745780523666452,0.016234576954639087,1.226753478232049,-0.025292907390752628,-0.009721673753114253,0.004562288421004923,1,3,1,1.0
2019-03-20,44.835636138916016,45.15255512807773,44.01831798035479,44.37574491965877,124140800,AAPL,0.008738647671121536,0.035495981849603675,0.07815742425034644,0.0937629585126587,0.05679079165972234,0.11874282114847534,76.17697209403187,1.22636086315579,1.0340449871463664,0.19231587600942368,0.12516379886828488,0.016751347185728887,1.191694783724246,8.700555868856874e-05,0.010413800846479564,-0.0023479598121829313,2,3,1,1.0
2019-03-21,46.486934661865234,46.78240882980378,45.22879245634288,45.27883381453322,204136800,AAPL,0.03683004558768688,0.06182968372712927,0.1309561694161765,0.14047683711796144,0.08836797229708737,0.15377440960652144,81.928908556644,1.3802889565042804,1.1032937810179493,0.2769951754863311,0.1440574823874933,0.017993562170279184,1.8402549965951054,1.1643461481371529,0.0677766754175663,0.012058758706135986,3,3,1,0.0
2019-03-22,45.52426528930664,47.10647460051664,45.4599274409297,46.546504437841726,169630800,AAPL,-0.020708385690749842,0.02648795175282226,0.10490979235525355,0.10452691815769777,0.06048136652275571,0.12477359807810284,71.14453524211577,1.408363963379422,1.164307817490244,0.24405614588917812,0.15033935824934047,0.019645095103661865,1.4670462305487348,0.08618212274190706,-0.030380159168363913,-0.02428142494882235,4,3,1,1.0
2019-03-25,44.97384262084961,45.745882499269285,44.46391365530103,45.63388843168261,175381200,AAPL,-0.01209075346870725,0.003829489298401212,0.05500284206630379,0.08328086741688323,0.043457223280390034,0.10653629496540407,65.81048985028505,1.3704019585941012,1.2055266457110154,0.16487531288308577,0.15201330583012387,0.020501186064843163,1.461244297078648,0.6722209932951433,-0.01766754455353235,-0.0018332038817253538,0,3,1,1.0
2019-03-26,44.50917434692383,45.96033017793337,43.98256747013785,45.66962270436676,199202000,AAPL,-0.010331967358074179,0.0013937172780260632,0.03250212689289911,0.07147331962961756,0.029131653296024407,0.09060859754183115,61.61092508407165,1.2879749762001893,1.2220163118088503,0.06595866439133902,0.15022590633845728,0.022409481409106015,1.573874825113607,0.5736545073057282,-0.016261223318768496,0.005946800858297513,1,3,1,2.0
2019-03-27,44.90949630737305,45.216881824139065,44.45199033761694,44.97621570071659,119393600,AAPL,0.008994144832454865,0.0016473540874537562,0.037201810387845535,0.07777212824922142,0.034512005312193006,0.09541483193890432,63.756717757207774,1.2406521694464843,1.2257434833363772,0.014908686110107094,0.14928684025768582,0.021839875291069368,0.9403256567983361,-0.0382404495540547,0.008457425146917481,-0.006196150816692747,2,3,1,2.0
2019-03-28,44.96906280517578,45.16922096451442,44.68550359481245,45.0238672363422,83121600,AAPL,0.0013263675324934887,-0.032651579798282815,0.027159267076727556,0.08992162943901683,0.031476474954563294,0.09225838339721815,64.07846316370794,1.1941891535018172,1.2194326173694652,-0.025243463867647975,0.1444964914084709,0.021021354821884542,0.6624107013927252,-0.5928142304572228,0.00087860004750355,0.004223259656559642,3,3,1,2.0
2019-03-29,45.26215744018555,45.2931356005877,44.926175293457625,45.23356445269698,94256000,AAPL,0.006517694982427491,-0.005757541554056944,0.020577904715866513,0.08561439599790721,0.033966517408114516,0.09485655727320252,65.69232590640274,1.1675582810843963,1.2090577501124515,-0.041499469028055236,0.14173066458615735,0.01997253200805435,0.7539331609009315,-0.44434619184723534,0.0049139063798896996,0.008080427540121771,4,3,1,2.0
2019-04-01,45.56954574584961,45.67438790998863,44.8880516813076,45.66485812631572,111448000,AAPL,0.006791287093866005,0.013245546528502183,0.017125759505585814,0.08751772619637066,0.0366463169136122,0.09773066316400492,67.34912797117912,1.157909134416208,1.198828026973203,-0.04091889255699499,0.13972324474220946,0.019653374341542428,0.8908413946134502,-0.3645385024164506,0.006049959665919918,0.015618175810556783,0,4,2,2.0
2019-04-02,46.231971740722656,46.33681752975984,45.524266300655576,45.53379608332538,91062800,AAPL,0.014536594210693421,0.0387065682317671,0.040154231522711026,0.10533827621376957,0.04647133418823324,0.1088671382351103,70.6397214436454,1.1899968152852267,1.1970617846356078,-0.007064969350381034,0.13850931502889158,0.019243471245829202,0.7243886835925201,-0.5428620194576359,0.010530144344202855,0.0018385257634147834,1,4,2,2.0
2019-04-03,46.54889297485352,46.82291878051856,46.02466400342362,46.04849391519191,93087200,AAPL,0.006855023097613433,0.03650445456479834,0.03821194441468956,0.11935591581608573,0.04775917351676706,0.11104506913897971,72.0890051792408,1.2268569848963438,1.203020824687755,0.023836160208588808,0.13424662790974884,0.01897218944232576,0.7376039740689024,-0.22033341820667107,0.005056292279133786,0.005523733392733815,2,4,2,2.0
2019-04-04,46.629913330078125,46.79194511065548,46.02228688104425,46.41545501139502,76457200,AAPL,0.0017405431159958074,0.036933180753573325,0.0030756742567106254,0.13443462219191815,0.04309586278744448,0.1076333721932301,72.46323097150848,1.2482179212204585,1.2120602439942956,0.03615767722616292,0.12128872343269767,0.01876539996506663,0.6113361838879591,-0.08017651248291657,0.001064056986425334,-0.0051686511077491115,3,4,2,1.0
2019-04-05,46.94205856323242,46.96588847372943,46.687092337463056,46.811001327366576,74106400,AAPL,0.006694098505925172,0.037114914932344645,0.031143682713289378,0.13932075235517205,0.04337954344656492,0.10940255829589707,73.91436352742078,1.2756294663274943,1.2247740884609355,0.050855377866558804,0.1049166269646678,0.017820375896496727,0.5977712880963605,-0.21377525038193856,0.0040015398865308124,0.003500531253993011,4,4,2,1.0
2019-04-08,47.68075180053711,47.71172632732698,46.78479934209682,46.80386254716306,103526800,AAPL,0.015736277017115663,0.046329319727304696,0.06018852341588876,0.11850190532984062,0.053881831196074925,0.12142753198647416,77.00294101892428,1.3414957560245142,1.2481184219736512,0.09337733405086301,0.10505222579447207,0.017679721325012686,0.8434278135293164,-0.07107529969133586,0.013272413717637497,0.0009003482654311945,0,4,2,1.0
2019-04-09,47.53778076171875,48.33603567750495,47.47344289751336,47.73317589155191,143072800,AAPL,-0.0029985063871570405,0.028244718358959586,0.068044542709075,0.10275826196347371,0.04560304420549688,0.11259433881372383,75.14836252522915,1.36640760091246,1.2717762577614131,0.09463134315104682,0.10403420360686909,0.017762359369417627,1.1593720924089073,0.5711443092020012,-0.0034763846241797312,-0.0032798302092500895,1,4,2,1.0
2019-04-10,47.80465316772461,47.833249790891394,47.22323818776864,47.34238048248308,86781200,AAPL,0.005613901232443874,0.026977230018111698,0.06446647365039015,0.10406655356735062,0.04628811685508505,0.1130549532908014,76.29598766338204,1.391642798373141,1.2957495658837588,0.0958932324893822,0.1030961185094946,0.017313007546647906,0.7140253606321251,-0.06774293350750693,0.004008467852048869,0.005895970154462138,2,4,2,1.0
2019-04-11,47.40671157836914,47.89519564421581,47.285187764028926,47.85945441527274,83603200,AAPL,-0.008324327507602147,0.016658796742604176,0.05420723984740894,0.08283873582864443,0.033476795765502665,0.09959159847793697,71.02878790763185,1.3638101590746814,1.3093616845219436,0.054448474552737824,0.1001453446844634,0.017130422609257488,0.6909227465541133,0.09346405570698368,-0.005751467224768433,-0.003654126114332956,3,4,2,2.0
2019-04-12,47.38765335083008,47.69027578606465,46.75381913013985,47.46628769869107,111042800,AAPL,-0.00040201538779072177,0.009492442411689783,0.04695966853664446,0.06850390483714675,0.029651548173159847,0.09513765749022474,70.77677850672613,1.3249416496317536,1.3124776775439055,0.012463972087848108,0.09890879672120528,0.017324762424200755,0.9351303372414014,0.4984238878153573,-0.0003759367851609704,0.0031026811292424682,4,4,2,2.0
2019-04-15,47.473445892333984,47.621184835604666,47.18273835239689,47.31856233696164,70146400,AAPL,0.0018104408097348035,-0.004347790258642514,0.04178009930366211,0.05962137474204199,0.02853087679919608,0.09309678487746598,71.27092496956722,1.2862339130698714,1.307228924649099,-0.02099501157922745,0.09911039140156448,0.016717893767801896,0.5994949455239231,-0.3224324522732278,0.0010853501146062532,-0.0015467492728602316,0,4,2,2.0
2019-04-16,47.47820663452149,47.98336882392176,47.31378967847928,47.528248000421726,102785600,AAPL,0.00010028221246671798,-0.0012531953793946116,0.026956126829025262,0.06819276090938464,0.02526768925819245,0.08977063425404697,71.2999264671054,1.2416291768147474,1.2941089750822288,-0.05247979826748139,0.09565017283463051,0.01652955000998535,0.8874662879613355,-0.2815853188027354,8.899708284638817e-05,0.0021481130244048407,1,4,2,2.0
2019-04-17,48.40275192260742,48.46232307255956,47.32570451341118,47.547307445984586,115627200,AAPL,0.01947304571132835,0.01251130831938796,0.03982605877985934,0.07955983433890101,0.04122250284595674,0.10739482578584214,76.30293791212999,1.266285726356024,1.288544325336988,-0.02225859898096383,0.09831056653341158,0.01673301058174952,1.0020254177272407,0.3323991832332349,0.019512486763315445,0.0004699412610498999,2,4,2,1.0
2019-04-18,48.57669448852539,48.64579541672132,48.25739402484164,48.40036259088173,96783200,AAPL,0.0035936503402966835,0.024679689250795667,0.04174961992029935,0.04495370240822649,0.04262078547196446,0.10770714348506871,77.11134682219925,1.2850486895016928,1.287845198169929,-0.0027965086682362195,0.10560007586433803,0.016053274676879087,0.8796409569391906,0.15764946796294876,0.003161122024243423,0.0012188524599770045,3,4,2,1.0
2019-04-22,48.73634719848633,48.83404475360525,48.214503361460345,48.33126412020742,77758000,AAPL,0.003286611236971826,0.02846087012731613,0.03822347570967599,0.07055757822266684,0.042454021861837,0.10721819047112535,77.8579827358858,1.2978404159574168,1.2898442417274265,0.007996174229990327,0.11024644288152194,0.015765787701503903,0.7375169018637198,-0.29974748475362656,0.0024239313371219487,0.005412100333179454,0,4,2,1.0
2019-04-23,49.43928909301758,49.50362695477499,48.58622976622122,48.712520316675125,93292000,AAPL,0.014423360283207343,0.04140932185841262,0.0368814925535772,0.09928985854763983,0.05246344144383319,0.11869804373898662,80.82400473233916,1.3491473565795573,1.3017048646978528,0.04744249188170446,0.11467694459489591,0.01575694023814297,0.9206959202666201,0.32996133800166505,0.013279528969284603,0.010198517551765068,1,4,2,0.0
2019-04-24,49.363040924072266,49.67757472014004,49.3368294714054,49.41069711912076,70162400,AAPL,-0.001542258603311586,0.03969893606259989,0.038395990159964866,0.10905317046133667,0.04543905693535799,0.11244653190499032,79.57877605909889,1.3678877284151625,1.3149414374413149,0.05294629097384762,0.11161714268668918,0.015147104942556704,0.7395190255209657,-0.31739076290842294,-0.0011405295794223095,-0.0051436073437569505,2,4,2,1.0
2019-04-25,48.9150619506836,49.50600673522847,48.8769355424073,49.28440380449955,74172800,AAPL,-0.009075189959988905,0.010584316133415816,0.02322804809529888,0.08919195209617481,0.03157595662689072,0.09829434381946078,72.51036595974234,1.3312456773788384,1.3182022854288196,0.013043391950018801,0.10582004439375052,0.015112587696759086,0.8008751960272389,-0.35851771901421114,-0.007268094538190544,0.0025655586154422925,3,4,2,1.0
2019-04-26,48.68153762817383,48.848336097417246,48.16207538289125,48.82450618641079,74596400,AAPL,-0.0047740780282607975,0.002158301233798454,0.026891256688353904,0.0825561973368667,0.02264783168727358,0.08907479645426686,69.06646324587607,1.268737905940732,1.3083094095312022,-0.039571503590470236,0.09651091082879022,0.015205262313246341,0.8091732128612249,-0.22924226518652002,-0.003863056056577971,0.0024395974997527938,4,4,2,2.0
